"","police_dist","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","1","2009","no",3369,933,2,89,393,451
"2","1","2009","yes",347,361,2,39,178,144
"3","1","2010","no",3420,749,5,69,364,316
"4","1","2010","yes",296,303,1,35,165,103
"5","1","2011","no",3262,679,0,64,350,265
"6","1","2011","yes",291,286,3,30,163,93
"7","1","2012","no",3099,760,4,64,375,321
"8","1","2012","yes",340,337,1,33,180,124
"9","1","2013","no",3125,777,5,88,339,350
"10","1","2013","yes",274,270,0,31,151,88
"11","1","2014","no",3473,766,5,73,344,349
"12","1","2014","yes",294,272,0,33,165,74
"13","1","2015","no",4472,898,3,106,444,348
"14","1","2015","yes",332,332,4,70,184,78
"15","1","2016","no",5322,848,1,93,440,315
"16","1","2016","yes",319,303,1,30,137,136
"17","1","2017","no",5489,959,4,112,513,334
"18","1","2017","yes",313,305,0,48,181,76
"19","10","2009","no",2324,496,1,54,235,207
"20","10","2009","yes",167,170,0,29,80,61
"21","10","2010","no",2213,581,3,48,291,242
"22","10","2010","yes",148,155,0,18,69,68
"23","10","2011","no",2143,473,8,37,249,187
"24","10","2011","yes",153,153,1,23,69,61
"25","10","2012","no",2232,539,9,59,236,244
"26","10","2012","yes",150,150,5,22,77,51
"27","10","2013","no",2199,601,6,69,234,298
"28","10","2013","yes",170,176,1,26,93,57
"29","10","2014","no",2282,502,4,48,195,259
"30","10","2014","yes",135,137,1,22,74,41
"31","10","2015","no",2571,509,1,49,197,263
"32","10","2015","yes",152,147,2,22,87,38
"33","10","2016","no",2894,520,2,32,238,250
"34","10","2016","yes",142,144,2,20,64,60
"35","10","2017","no",2800,758,4,73,365,320
"36","10","2017","yes",169,175,2,33,96,46
"37","11","2009","no",3220,1040,12,111,534,395
"38","11","2009","yes",197,206,1,30,107,69
"39","11","2010","no",3257,1064,5,104,563,397
"40","11","2010","yes",211,216,2,30,120,66
"41","11","2011","no",3147,952,3,72,513,367
"42","11","2011","yes",210,217,1,27,123,67
"43","11","2012","no",3105,974,5,99,518,357
"44","11","2012","yes",201,203,3,28,97,78
"45","11","2013","no",3059,1026,4,105,478,443
"46","11","2013","yes",199,190,0,24,104,62
"47","11","2014","no",3182,1034,5,138,475,421
"48","11","2014","yes",166,156,3,22,107,27
"49","11","2015","no",3544,1120,3,166,517,437
"50","11","2015","yes",215,219,4,34,141,44
"51","11","2016","no",3924,1060,8,78,585,397
"52","11","2016","yes",198,194,3,28,87,79
"53","11","2017","no",3862,1207,6,111,636,460
"54","11","2017","yes",174,171,5,36,105,30
"55","11",NA,"no",2,0,0,0,0,0
"56","12","2009","no",5765,1154,12,141,601,412
"57","12","2009","yes",317,322,3,40,150,132
"58","12","2010","no",6140,1208,3,122,664,422
"59","12","2010","yes",339,334,4,45,183,106
"60","12","2011","no",6111,1188,6,125,644,419
"61","12","2011","yes",298,295,1,44,144,107
"62","12","2012","no",6106,1209,6,151,612,446
"63","12","2012","yes",324,313,2,36,162,115
"64","12","2013","no",6110,1204,4,150,589,465
"65","12","2013","yes",327,308,4,62,169,77
"66","12","2014","no",6578,1159,6,150,596,413
"67","12","2014","yes",329,313,3,46,186,81
"68","12","2015","no",7515,1486,6,207,701,578
"69","12","2015","yes",377,366,0,51,214,101
"70","12","2016","no",8029,1388,3,150,699,539
"71","12","2016","yes",355,352,1,42,164,146
"72","12","2017","no",7870,1406,16,114,776,516
"73","12","2017","yes",337,333,4,49,205,79
"74","12",NA,"no",1,0,0,0,0,0
"75","14","2009","no",3890,654,2,69,315,270
"76","14","2009","yes",293,286,2,37,110,139
"77","14","2010","no",3990,677,4,73,294,310
"78","14","2010","yes",327,329,0,33,167,129
"79","14","2011","no",4044,742,3,38,360,344
"80","14","2011","yes",279,266,3,32,146,88
"81","14","2012","no",3933,746,4,51,383,312
"82","14","2012","yes",301,296,1,36,154,106
"83","14","2013","no",3856,662,3,54,326,282
"84","14","2013","yes",288,273,0,24,174,75
"85","14","2014","no",3944,679,4,54,344,281
"86","14","2014","yes",323,308,5,22,200,86
"87","14","2015","no",3853,593,1,75,272,246
"88","14","2015","yes",328,321,1,46,174,101
"89","14","2016","no",4185,624,2,68,284,272
"90","14","2016","yes",292,281,0,29,140,112
"91","14","2017","no",4028,669,0,65,315,289
"92","14","2017","yes",238,236,2,41,134,61
"93","14",NA,"yes",1,0,0,0,0,0
"94","15","2009","no",1829,424,5,23,212,189
"95","15","2009","yes",107,112,0,17,48,47
"96","15","2010","no",1732,431,1,31,207,193
"97","15","2010","yes",108,112,1,10,51,51
"98","15","2011","no",1793,457,4,31,259,167
"99","15","2011","yes",120,121,2,11,58,52
"100","15","2012","no",1814,410,6,38,221,151
"101","15","2012","yes",116,114,1,9,66,39
"102","15","2013","no",1776,329,1,23,156,150
"103","15","2013","yes",104,105,0,8,69,28
"104","15","2014","no",1709,388,1,28,210,150
"105","15","2014","yes",87,86,1,12,51,23
