"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"125","17031010501","2009","Vehicle/Other",43,5,0,0,2,3
"126","17031010501","2010","PEDALCYCLIST",1,1,0,0,1,0
"127","17031010501","2010","PEDESTRIAN",4,3,1,0,2,1
"128","17031010501","2010","Vehicle/Other",34,9,0,0,6,3
"129","17031010501","2011","PEDALCYCLIST",1,1,0,0,0,1
"130","17031010501","2011","PEDESTRIAN",2,2,0,0,1,1
"131","17031010501","2011","Vehicle/Other",37,8,0,1,2,5
"132","17031010501","2012","PEDALCYCLIST",2,2,0,0,2,0
"133","17031010501","2012","PEDESTRIAN",2,2,0,1,0,1
"134","17031010501","2012","Vehicle/Other",33,4,0,0,4,0
"135","17031010501","2013","PEDALCYCLIST",1,1,0,0,1,0
"136","17031010501","2013","Vehicle/Other",47,12,0,1,8,3
"137","17031010501","2014","PEDALCYCLIST",1,0,0,0,0,0
"138","17031010501","2014","Vehicle/Other",56,11,0,1,3,7
"139","17031010501","2015","PEDALCYCLIST",2,2,0,0,2,0
"140","17031010501","2015","PEDESTRIAN",1,1,0,0,1,0
"141","17031010501","2015","Vehicle/Other",34,8,0,0,4,4
"142","17031010501","2016","PEDALCYCLIST",1,0,0,0,0,0
"143","17031010501","2016","PEDESTRIAN",2,2,0,0,2,0
"144","17031010501","2016","Vehicle/Other",37,4,0,0,3,1
"145","17031010501","2017","PEDESTRIAN",2,2,0,2,0,0
"146","17031010501","2017","Vehicle/Other",46,8,0,0,8,0
"147","17031010502","2009","PEDALCYCLIST",4,4,0,0,1,3
"148","17031010502","2009","PEDESTRIAN",1,1,0,0,1,0
"149","17031010502","2009","Vehicle/Other",50,4,0,0,1,3
"150","17031010502","2010","PEDALCYCLIST",1,1,0,1,0,0
"151","17031010502","2010","PEDESTRIAN",4,4,0,1,1,2
"152","17031010502","2010","Vehicle/Other",49,6,0,1,0,5
"153","17031010502","2011","PEDALCYCLIST",2,1,0,0,0,1
"154","17031010502","2011","PEDESTRIAN",2,2,0,2,0,0
"155","17031010502","2011","Vehicle/Other",30,3,0,0,3,0
"156","17031010502","2012","PEDALCYCLIST",4,3,0,1,1,1
"157","17031010502","2012","Vehicle/Other",44,8,0,2,2,4
"158","17031010502","2013","PEDESTRIAN",2,2,0,0,1,1
"159","17031010502","2013","Vehicle/Other",46,6,0,1,2,3
"160","17031010502","2014","PEDALCYCLIST",1,1,0,0,0,1
"161","17031010502","2014","PEDESTRIAN",2,2,0,0,1,1
"162","17031010502","2014","Vehicle/Other",49,3,0,0,2,1
"163","17031010502","2015","PEDALCYCLIST",3,3,0,0,3,0
"164","17031010502","2015","PEDESTRIAN",1,1,0,0,1,0
"165","17031010502","2015","Vehicle/Other",34,0,0,0,0,0
"166","17031010502","2016","PEDESTRIAN",3,3,0,0,2,1
"167","17031010502","2016","Vehicle/Other",41,4,0,0,2,2
"168","17031010502","2017","PEDALCYCLIST",1,1,0,0,1,0
"169","17031010502","2017","PEDESTRIAN",2,2,0,0,1,1
"170","17031010502","2017","Vehicle/Other",38,9,0,0,3,6
"171","17031010503","2009","PEDALCYCLIST",3,3,0,0,2,1
"172","17031010503","2009","PEDESTRIAN",5,7,0,0,3,4
"173","17031010503","2009","Vehicle/Other",62,7,0,2,3,2
"174","17031010503","2010","PEDALCYCLIST",3,3,0,1,1,1
"175","17031010503","2010","PEDESTRIAN",4,4,0,0,2,2
"176","17031010503","2010","Vehicle/Other",48,4,0,0,1,3
"177","17031010503","2011","PEDALCYCLIST",1,1,0,0,0,1
"178","17031010503","2011","PEDESTRIAN",1,1,0,0,0,1
"179","17031010503","2011","Vehicle/Other",49,9,0,1,3,5
"180","17031010503","2012","PEDESTRIAN",4,4,0,1,2,1
"181","17031010503","2012","Vehicle/Other",45,9,0,0,4,5
"182","17031010503","2013","PEDALCYCLIST",1,1,0,0,1,0
"183","17031010503","2013","PEDESTRIAN",3,3,0,0,2,1
"184","17031010503","2013","Vehicle/Other",44,4,0,1,0,3
"185","17031010503","2014","Vehicle/Other",46,11,0,1,7,3
"186","17031010503","2015","PEDALCYCLIST",3,3,0,0,2,1
"187","17031010503","2015","PEDESTRIAN",2,2,0,0,2,0
"188","17031010503","2015","Vehicle/Other",32,3,0,1,0,2
"189","17031010503","2016","PEDALCYCLIST",1,1,0,0,0,1
"190","17031010503","2016","PEDESTRIAN",3,3,0,1,2,0
"191","17031010503","2016","Vehicle/Other",46,4,0,2,1,1
"192","17031010503","2017","PEDALCYCLIST",1,1,0,0,1,0
"193","17031010503","2017","PEDESTRIAN",3,3,0,0,2,1
"194","17031010503","2017","Vehicle/Other",55,11,0,3,4,4
"195","17031010600","2009","PEDALCYCLIST",5,5,0,1,1,3
"196","17031010600","2009","PEDESTRIAN",4,3,2,0,1,2
"197","17031010600","2009","Vehicle/Other",66,5,0,0,3,2
"198","17031010600","2010","PEDALCYCLIST",4,4,0,1,2,1
"199","17031010600","2010","PEDESTRIAN",3,3,0,1,1,1
"200","17031010600","2010","Vehicle/Other",62,9,1,0,2,7
"201","17031010600","2011","PEDALCYCLIST",3,3,0,0,3,0
"202","17031010600","2011","PEDESTRIAN",2,2,0,0,1,1
"203","17031010600","2011","Vehicle/Other",64,7,0,2,4,1
"204","17031010600","2012","PEDALCYCLIST",3,3,0,0,2,1
"205","17031010600","2012","PEDESTRIAN",2,2,0,1,1,0
"206","17031010600","2012","Vehicle/Other",61,18,0,3,10,5
"207","17031010600","2013","PEDALCYCLIST",3,2,0,0,0,2
"208","17031010600","2013","PEDESTRIAN",3,3,0,1,0,2
"209","17031010600","2013","Vehicle/Other",66,3,0,0,0,3
"210","17031010600","2014","PEDALCYCLIST",1,1,0,0,1,0
"211","17031010600","2014","PEDESTRIAN",2,2,0,0,0,2
"212","17031010600","2014","Vehicle/Other",68,3,0,0,2,1
"213","17031010600","2015","PEDALCYCLIST",3,3,0,0,3,0
"214","17031010600","2015","PEDESTRIAN",5,5,0,2,3,0
"215","17031010600","2015","Vehicle/Other",67,2,0,0,1,1
"216","17031010600","2016","PEDALCYCLIST",1,1,0,0,1,0
