"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"162","DUNNING","2018","Vehicle/Other",1372,240,0,26,102,112
"163","DUNNING","2019","PEDALCYCLIST",11,10,0,4,6,0
"164","DUNNING","2019","PEDESTRIAN",35,37,0,13,22,2
"165","DUNNING","2019","Vehicle/Other",1393,219,1,23,130,65
"166","DUNNING","2020","PEDALCYCLIST",13,12,0,1,11,0
"167","DUNNING","2020","PEDESTRIAN",18,13,0,1,11,1
"168","DUNNING","2020","Vehicle/Other",994,165,0,10,109,46
"169","EAST GARFIELD PARK","2018","PEDALCYCLIST",16,10,0,1,6,3
"170","EAST GARFIELD PARK","2018","PEDESTRIAN",53,52,0,14,28,10
"171","EAST GARFIELD PARK","2018","Vehicle/Other",1206,354,1,27,187,139
"172","EAST GARFIELD PARK","2019","PEDALCYCLIST",22,17,0,3,12,2
"173","EAST GARFIELD PARK","2019","PEDESTRIAN",46,43,0,6,32,5
"174","EAST GARFIELD PARK","2019","Vehicle/Other",1249,339,0,38,210,91
"175","EAST GARFIELD PARK","2020","PEDALCYCLIST",7,6,1,2,3,0
"176","EAST GARFIELD PARK","2020","PEDESTRIAN",41,37,1,7,24,5
"177","EAST GARFIELD PARK","2020","Vehicle/Other",1266,347,2,45,221,79
"178","EAST SIDE","2018","PEDALCYCLIST",4,4,0,0,4,0
"179","EAST SIDE","2018","PEDESTRIAN",11,10,0,1,8,1
"180","EAST SIDE","2018","Vehicle/Other",530,88,4,4,49,31
"181","EAST SIDE","2019","PEDALCYCLIST",3,1,0,0,1,0
"182","EAST SIDE","2019","PEDESTRIAN",11,11,0,2,7,2
"183","EAST SIDE","2019","Vehicle/Other",523,92,0,10,47,35
"184","EAST SIDE","2020","PEDALCYCLIST",8,7,0,3,3,1
"185","EAST SIDE","2020","PEDESTRIAN",8,6,0,2,2,2
"186","EAST SIDE","2020","Vehicle/Other",490,107,0,16,55,36
"187","EDGEWATER","2018","PEDALCYCLIST",34,22,0,2,17,3
"188","EDGEWATER","2018","PEDESTRIAN",62,56,0,11,31,14
"189","EDGEWATER","2018","Vehicle/Other",1704,169,0,19,77,73
"190","EDGEWATER","2019","PEDALCYCLIST",42,28,0,7,15,6
"191","EDGEWATER","2019","PEDESTRIAN",44,37,0,12,22,3
"192","EDGEWATER","2019","Vehicle/Other",1619,143,0,12,76,55
"193","EDGEWATER","2020","PEDALCYCLIST",21,16,0,5,8,3
"194","EDGEWATER","2020","PEDESTRIAN",37,35,1,4,27,3
"195","EDGEWATER","2020","Vehicle/Other",1089,125,0,15,58,52
"196","EDISON PARK","2018","PEDALCYCLIST",1,0,0,0,0,0
"197","EDISON PARK","2018","PEDESTRIAN",2,2,0,0,1,1
"198","EDISON PARK","2018","Vehicle/Other",342,51,0,4,37,10
"199","EDISON PARK","2019","PEDALCYCLIST",4,4,0,0,4,0
"200","EDISON PARK","2019","PEDESTRIAN",5,6,0,1,2,3
"201","EDISON PARK","2019","Vehicle/Other",342,43,0,10,25,8
"202","EDISON PARK","2020","PEDALCYCLIST",1,0,0,0,0,0
"203","EDISON PARK","2020","PEDESTRIAN",2,2,0,2,0,0
"204","EDISON PARK","2020","Vehicle/Other",220,38,0,5,15,18
"205","ENGLEWOOD","2018","PEDALCYCLIST",11,8,0,0,5,3
"206","ENGLEWOOD","2018","PEDESTRIAN",37,37,1,9,23,4
"207","ENGLEWOOD","2018","Vehicle/Other",1288,343,4,38,184,117
"208","ENGLEWOOD","2019","PEDALCYCLIST",12,10,0,3,5,2
"209","ENGLEWOOD","2019","PEDESTRIAN",33,33,0,9,20,4
"210","ENGLEWOOD","2019","Vehicle/Other",1272,351,1,22,188,140
"211","ENGLEWOOD","2020","PEDALCYCLIST",9,9,0,0,9,0
"212","ENGLEWOOD","2020","PEDESTRIAN",34,29,0,7,16,6
"213","ENGLEWOOD","2020","Vehicle/Other",1530,385,1,39,218,127
"214","FOREST GLEN","2018","PEDALCYCLIST",8,7,0,2,5,0
"215","FOREST GLEN","2018","PEDESTRIAN",7,6,0,2,3,1
"216","FOREST GLEN","2018","Vehicle/Other",908,130,0,22,56,52
"217","FOREST GLEN","2019","PEDALCYCLIST",9,6,0,3,2,1
"218","FOREST GLEN","2019","PEDESTRIAN",8,7,0,1,6,0
"219","FOREST GLEN","2019","Vehicle/Other",755,144,1,13,80,50
"220","FOREST GLEN","2020","PEDALCYCLIST",5,5,0,0,5,0
"221","FOREST GLEN","2020","PEDESTRIAN",4,4,0,2,2,0
"222","FOREST GLEN","2020","Vehicle/Other",471,79,0,7,50,22
"223","FULLER PARK","2018","PEDALCYCLIST",3,1,0,0,1,0
"224","FULLER PARK","2018","PEDESTRIAN",11,9,0,2,5,2
"225","FULLER PARK","2018","Vehicle/Other",432,131,0,11,76,44
"226","FULLER PARK","2019","PEDALCYCLIST",1,0,0,0,0,0
"227","FULLER PARK","2019","PEDESTRIAN",11,12,0,0,8,4
"228","FULLER PARK","2019","Vehicle/Other",412,108,0,11,65,32
"229","FULLER PARK","2020","PEDALCYCLIST",2,0,0,0,0,0
"230","FULLER PARK","2020","PEDESTRIAN",6,5,0,2,3,0
"231","FULLER PARK","2020","Vehicle/Other",387,104,0,8,53,43
"232","GAGE PARK","2018","PEDALCYCLIST",13,12,0,1,10,1
"233","GAGE PARK","2018","PEDESTRIAN",33,36,0,6,26,4
"234","GAGE PARK","2018","Vehicle/Other",1242,174,1,8,106,59
"235","GAGE PARK","2019","PEDALCYCLIST",13,10,0,0,7,3
"236","GAGE PARK","2019","PEDESTRIAN",40,35,1,7,20,7
"237","GAGE PARK","2019","Vehicle/Other",1268,160,0,14,96,50
"238","GAGE PARK","2020","PEDALCYCLIST",10,9,0,2,6,1
"239","GAGE PARK","2020","PEDESTRIAN",24,24,2,5,13,4
"240","GAGE PARK","2020","Vehicle/Other",976,155,1,14,93,47
"241","GARFIELD RIDGE","2018","PEDALCYCLIST",12,7,0,1,6,0
