"","tract","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"166","17031010701","2011","no",92,14,0,0,5,9
"167","17031010701","2011","yes",6,6,0,0,4,2
"168","17031010701","2012","no",85,13,0,2,7,4
"169","17031010701","2012","yes",4,4,0,0,3,1
"170","17031010701","2013","no",100,13,0,2,7,4
"171","17031010701","2013","yes",2,1,0,0,1,0
"172","17031010701","2014","no",75,5,0,2,0,3
"173","17031010701","2014","yes",8,8,0,1,6,1
"174","17031010701","2015","no",85,10,0,0,4,6
"175","17031010701","2015","yes",5,5,0,0,4,1
"176","17031010701","2016","no",74,11,0,1,8,2
"177","17031010701","2016","yes",3,4,0,1,1,2
"178","17031010701","2017","no",75,8,0,2,5,1
"179","17031010701","2017","yes",3,3,0,0,1,2
"180","17031010702","2009","no",66,8,0,2,4,2
"181","17031010702","2009","yes",3,3,0,0,3,0
"182","17031010702","2010","no",95,10,0,0,5,5
"183","17031010702","2010","yes",6,7,0,0,5,2
"184","17031010702","2011","no",72,13,0,1,6,6
"185","17031010702","2011","yes",8,8,0,2,3,3
"186","17031010702","2012","no",65,8,0,0,2,6
"187","17031010702","2012","yes",5,5,0,2,2,1
"188","17031010702","2013","no",65,6,0,1,3,2
"189","17031010702","2013","yes",5,4,0,0,4,0
"190","17031010702","2014","no",53,7,0,1,1,5
"191","17031010702","2014","yes",7,4,0,0,3,1
"192","17031010702","2015","no",69,9,0,4,3,2
"193","17031010702","2015","yes",11,11,0,3,6,2
"194","17031010702","2016","no",83,8,0,0,4,4
"195","17031010702","2016","yes",7,7,0,1,3,3
"196","17031010702","2017","no",82,11,0,1,8,2
"197","17031010702","2017","yes",7,8,0,1,7,0
"198","17031020100","2009","no",55,4,0,0,3,1
"199","17031020100","2009","yes",5,6,0,2,1,3
"200","17031020100","2010","no",59,7,0,1,5,1
"201","17031020100","2010","yes",6,6,0,0,4,2
"202","17031020100","2011","no",61,17,0,3,4,10
"203","17031020100","2011","yes",7,6,0,1,2,3
"204","17031020100","2012","no",87,17,0,1,15,1
"205","17031020100","2012","yes",3,3,0,0,3,0
"206","17031020100","2013","no",89,18,0,1,10,7
"207","17031020100","2013","yes",8,9,0,1,7,1
"208","17031020100","2014","no",90,15,0,0,7,8
"209","17031020100","2014","yes",4,4,0,1,2,1
"210","17031020100","2015","no",86,20,1,1,10,9
"211","17031020100","2015","yes",4,4,0,0,4,0
"212","17031020100","2016","no",102,13,0,2,9,2
"213","17031020100","2016","yes",3,3,0,0,2,1
"214","17031020100","2017","no",68,7,0,0,2,5
"215","17031020100","2017","yes",2,2,0,0,1,1
"216","17031020200","2009","no",136,13,0,1,8,4
"217","17031020200","2009","yes",3,3,0,0,2,1
"218","17031020200","2010","no",121,11,0,0,1,10
"219","17031020200","2010","yes",7,7,0,1,3,3
"220","17031020200","2011","no",103,10,0,1,5,4
"221","17031020200","2011","yes",4,4,0,0,3,1
"222","17031020200","2012","no",135,31,0,4,16,11
"223","17031020200","2012","yes",2,2,0,0,2,0
"224","17031020200","2013","no",129,35,0,3,12,20
"225","17031020200","2013","yes",6,7,0,1,6,0
"226","17031020200","2014","no",138,30,0,5,18,7
"227","17031020200","2014","yes",7,6,0,1,4,1
"228","17031020200","2015","no",131,17,0,2,7,8
"229","17031020200","2015","yes",8,8,0,1,3,4
"230","17031020200","2016","no",142,20,0,0,14,6
"231","17031020200","2016","yes",9,9,0,3,2,4
"232","17031020200","2017","no",160,35,0,5,18,12
"233","17031020200","2017","yes",14,15,0,1,13,1
"234","17031020301","2009","no",24,4,0,0,0,4
"235","17031020301","2009","yes",1,1,0,1,0,0
"236","17031020301","2010","no",32,6,0,2,2,2
"237","17031020301","2010","yes",1,1,0,0,0,1
"238","17031020301","2011","no",18,4,0,0,1,3
"239","17031020301","2011","yes",3,5,0,0,3,2
"240","17031020301","2012","no",24,6,0,1,3,2
"241","17031020301","2013","no",40,8,0,0,7,1
"242","17031020301","2013","yes",1,1,0,0,1,0
"243","17031020301","2014","no",35,3,0,2,1,0
"244","17031020301","2015","no",33,9,0,0,2,7
"245","17031020301","2016","no",34,6,0,0,0,6
"246","17031020301","2016","yes",3,3,0,0,2,1
"247","17031020301","2017","no",55,11,0,3,7,1
"248","17031020301","2017","yes",2,2,0,0,1,1
"249","17031020302","2009","no",30,1,0,0,0,1
"250","17031020302","2009","yes",3,3,0,0,1,2
"251","17031020302","2010","no",45,5,0,1,3,1
"252","17031020302","2010","yes",4,4,0,0,2,2
"253","17031020302","2011","no",34,2,0,0,1,1
"254","17031020302","2011","yes",3,3,0,0,2,1
"255","17031020302","2012","no",27,3,0,0,2,1
"256","17031020302","2013","no",45,4,0,1,2,1
"257","17031020302","2014","no",42,4,0,0,3,1
"258","17031020302","2014","yes",1,1,0,1,0,0
"259","17031020302","2015","no",30,0,0,0,0,0
"260","17031020302","2015","yes",1,1,0,0,0,1
"261","17031020302","2016","no",55,2,0,0,0,2
"262","17031020302","2016","yes",2,2,0,0,2,0
"263","17031020302","2017","no",71,12,0,0,10,2
"264","17031020302","2017","yes",4,4,0,0,3,1
"265","17031020400","2009","no",67,8,0,1,1,6
"266","17031020400","2009","yes",3,3,0,0,1,2
"267","17031020400","2010","no",57,7,0,0,2,5
"268","17031020400","2010","yes",5,4,1,0,4,0
"269","17031020400","2011","no",57,7,0,0,2,5
"270","17031020400","2011","yes",3,4,0,0,2,2
"271","17031020400","2012","no",49,8,0,0,5,3
"272","17031020400","2012","yes",4,4,0,1,1,2
"273","17031020400","2013","no",61,10,0,2,4,4
"274","17031020400","2013","yes",5,5,0,1,4,0
"275","17031020400","2014","no",72,14,0,1,7,6
"276","17031020400","2014","yes",3,2,0,0,0,2
"277","17031020400","2015","no",91,13,0,2,8,3
"278","17031020400","2015","yes",6,6,0,0,4,2
"279","17031020400","2016","no",74,20,0,0,11,9
"280","17031020400","2016","yes",4,5,0,1,2,2
"281","17031020400","2017","no",83,17,0,1,8,8
"282","17031020400","2017","yes",1,1,0,0,0,1
"283","17031020500","2009","no",133,15,0,2,5,8
"284","17031020500","2009","yes",12,11,2,2,9,0
"285","17031020500","2010","no",148,20,0,3,13,4
"286","17031020500","2010","yes",12,12,0,2,9,1
"287","17031020500","2011","no",147,12,0,0,8,4
"288","17031020500","2011","yes",11,12,0,1,6,5
"289","17031020500","2012","no",151,30,0,3,18,9
"290","17031020500","2012","yes",10,10,0,1,7,2
"291","17031020500","2013","no",135,9,0,0,6,3
"292","17031020500","2013","yes",13,13,0,6,7,0
"293","17031020500","2014","no",163,28,0,2,18,8
"294","17031020500","2014","yes",10,11,0,3,8,0
"295","17031020500","2015","no",154,20,0,3,14,3
"296","17031020500","2015","yes",14,13,0,1,11,1
"297","17031020500","2016","no",142,15,0,1,6,8
"298","17031020500","2016","yes",11,11,0,0,6,5
"299","17031020500","2017","no",144,14,0,0,5,9
"300","17031020500","2017","yes",8,8,0,0,5,3
"301","17031020601","2009","no",123,18,1,0,9,9
"302","17031020601","2009","yes",12,12,0,1,5,6
"303","17031020601","2010","no",117,11,0,0,8,3
"304","17031020601","2010","yes",8,8,0,1,5,2
"305","17031020601","2011","no",106,20,0,0,16,4
"306","17031020601","2011","yes",7,7,0,0,7,0
"307","17031020601","2012","no",108,16,0,0,8,8
"308","17031020601","2012","yes",13,12,0,1,9,2
"309","17031020601","2013","no",130,14,0,2,6,6
"310","17031020601","2013","yes",10,11,1,1,6,4
"311","17031020601","2014","no",132,21,0,0,17,4
"312","17031020601","2014","yes",11,10,0,2,6,2
"313","17031020601","2015","no",121,20,0,1,15,4
"314","17031020601","2015","yes",13,13,0,3,8,2
"315","17031020601","2016","no",133,19,0,3,4,12
"316","17031020601","2016","yes",6,6,0,0,2,4
"317","17031020601","2017","no",105,16,0,3,12,1
"318","17031020601","2017","yes",16,16,0,1,13,2
"319","17031020602","2009","no",102,7,0,0,6,1
"320","17031020602","2009","yes",9,9,0,2,5,2
"321","17031020602","2010","no",89,8,0,0,4,4
"322","17031020602","2010","yes",6,7,0,0,1,6
"323","17031020602","2011","no",75,8,2,5,3,0
"324","17031020602","2011","yes",3,4,0,2,0,2
"325","17031020602","2012","no",93,12,0,0,7,5
"326","17031020602","2012","yes",7,7,1,1,2,4
"327","17031020602","2013","no",91,12,0,1,9,2
"328","17031020602","2013","yes",10,12,0,2,8,2
"329","17031020602","2014","no",101,12,0,1,6,5
"330","17031020602","2014","yes",11,11,0,2,4,5
"331","17031020602","2015","no",116,12,0,2,3,7
"332","17031020602","2015","yes",3,4,0,1,3,0
"333","17031020602","2016","no",95,12,0,1,8,3
"334","17031020602","2016","yes",7,8,0,0,4,4
"335","17031020602","2017","no",110,12,0,2,6,4
"336","17031020602","2017","yes",10,10,0,0,8,2
"337","17031020701","2009","no",73,9,0,0,7,2
"338","17031020701","2009","yes",3,3,0,0,1,2
"339","17031020701","2010","no",60,10,1,1,3,6
"340","17031020701","2010","yes",2,2,0,1,0,1
"341","17031020701","2011","no",51,6,0,0,2,4
"342","17031020701","2011","yes",6,6,0,1,2,3
"343","17031020701","2012","no",78,11,0,0,6,5
"344","17031020701","2012","yes",3,3,0,1,1,1
"345","17031020701","2013","no",77,9,0,0,4,5
"346","17031020701","2013","yes",4,4,0,2,2,0
"347","17031020701","2014","no",58,14,0,1,4,9
"348","17031020701","2014","yes",6,6,0,0,5,1
"349","17031020701","2015","no",77,7,0,3,3,1
"350","17031020701","2015","yes",3,3,0,0,1,2
"351","17031020701","2016","no",79,19,0,1,10,8
"352","17031020701","2016","yes",5,4,0,0,3,1
"353","17031020701","2017","no",80,10,0,0,8,2
"354","17031020701","2017","yes",3,5,0,2,2,1
"355","17031020702","2009","no",168,45,0,0,21,24
"356","17031020702","2009","yes",11,10,1,1,5,4
"357","17031020702","2010","no",149,19,0,1,9,9
"358","17031020702","2010","yes",4,6,0,0,4,2
"359","17031020702","2011","no",140,29,0,2,17,10
"360","17031020702","2011","yes",6,6,0,1,3,2
"361","17031020702","2012","no",137,18,0,1,10,7
"362","17031020702","2012","yes",10,9,1,3,4,2
"363","17031020702","2013","no",157,17,0,2,7,8
"364","17031020702","2013","yes",10,8,0,1,5,2
"365","17031020702","2014","no",155,21,0,0,14,7
"366","17031020702","2014","yes",16,17,0,1,14,2
"367","17031020702","2015","no",152,12,0,1,7,4
"368","17031020702","2015","yes",2,2,0,0,0,2
"369","17031020702","2016","no",180,32,1,3,16,13
"370","17031020702","2016","yes",9,8,1,0,5,3
"371","17031020702","2017","no",177,16,0,1,10,5
"372","17031020702","2017","yes",9,9,0,0,6,3
"373","17031020801","2009","no",150,40,0,3,15,22
"374","17031020801","2009","yes",5,5,0,1,1,3
"375","17031020801","2010","no",152,30,0,2,16,12
"376","17031020801","2010","yes",4,4,0,2,1,1
"377","17031020801","2011","no",132,21,0,6,9,6
"378","17031020801","2011","yes",9,9,1,0,7,2
"379","17031020801","2012","no",142,24,0,2,13,9
"380","17031020801","2012","yes",7,7,0,2,3,2
"381","17031020801","2013","no",109,26,0,0,14,12
"382","17031020801","2013","yes",6,6,0,0,4,2
"383","17031020801","2014","no",125,16,0,0,8,8
"384","17031020801","2014","yes",6,5,0,2,3,0
"385","17031020801","2015","no",153,26,0,1,10,15
"386","17031020801","2015","yes",10,9,0,1,3,5
"387","17031020801","2016","no",143,14,0,2,8,4
"388","17031020801","2016","yes",6,6,0,2,2,2
"389","17031020801","2017","no",138,28,0,1,15,12
"390","17031020801","2017","yes",3,3,0,2,1,0
"391","17031020802","2009","no",142,15,0,0,5,10
"392","17031020802","2009","yes",10,10,0,1,4,5
"393","17031020802","2010","no",150,18,0,0,10,8
"394","17031020802","2010","yes",8,7,0,1,3,3
"395","17031020802","2011","no",166,22,0,5,6,11
"396","17031020802","2011","yes",2,2,0,0,2,0
"397","17031020802","2012","no",160,26,0,2,12,12
"398","17031020802","2012","yes",8,6,1,1,5,0
"399","17031020802","2013","no",137,22,0,1,11,10
"400","17031020802","2013","yes",14,15,0,2,9,4
"401","17031020802","2014","no",141,26,0,0,12,14
"402","17031020802","2014","yes",8,7,0,1,4,2
"403","17031020802","2015","no",167,21,0,4,5,12
"404","17031020802","2015","yes",8,8,0,1,5,2
"405","17031020802","2016","no",163,15,0,1,5,9
"406","17031020802","2016","yes",13,14,0,3,6,5
"407","17031020802","2017","no",186,24,0,3,15,6
"408","17031020802","2017","yes",11,11,0,3,7,1
"409","17031020901","2009","no",130,23,0,1,7,15
"410","17031020901","2010","no",107,26,0,0,10,16
"411","17031020901","2010","yes",6,5,1,1,1,3
"412","17031020901","2011","no",97,24,0,2,7,15
"413","17031020901","2011","yes",1,1,0,0,0,1
"414","17031020901","2012","no",83,7,0,2,4,1
"415","17031020901","2012","yes",2,2,0,0,0,2
"416","17031020901","2013","no",96,19,0,1,13,5
"417","17031020901","2013","yes",2,2,0,0,2,0
"418","17031020901","2014","no",86,11,0,0,6,5
"419","17031020901","2014","yes",5,5,0,3,1,1
"420","17031020901","2015","no",82,10,0,2,8,0
"421","17031020901","2015","yes",5,5,0,0,4,1
"422","17031020901","2016","no",93,13,0,0,4,9
"423","17031020901","2016","yes",2,2,0,0,2,0
"424","17031020901","2017","no",111,15,0,1,8,6
"425","17031020901","2017","yes",8,7,0,2,4,1
"426","17031020902","2009","no",109,19,0,0,7,12
"427","17031020902","2009","yes",4,4,0,2,1,1
"428","17031020902","2010","no",86,9,0,0,4,5
"429","17031020902","2010","yes",3,3,0,0,2,1
"430","17031020902","2011","no",90,12,0,0,7,5
"431","17031020902","2011","yes",4,4,0,0,3,1
"432","17031020902","2012","no",88,15,0,1,8,6
"433","17031020902","2012","yes",4,3,0,0,0,3
"434","17031020902","2013","no",96,20,0,0,11,9
"435","17031020902","2013","yes",9,8,0,1,3,4
"436","17031020902","2014","no",110,7,0,0,3,4
"437","17031020902","2014","yes",4,4,0,0,4,0
"438","17031020902","2015","no",78,6,0,1,3,2
"439","17031020902","2015","yes",4,4,0,2,2,0
"440","17031020902","2016","no",69,9,0,1,4,4
"441","17031020902","2016","yes",5,5,0,0,3,2
"442","17031020902","2017","no",115,12,0,3,7,2
"443","17031020902","2017","yes",5,5,0,1,4,0
"444","17031030101","2009","no",20,2,0,0,1,1
"445","17031030101","2009","yes",2,2,0,0,2,0
"446","17031030101","2010","no",25,0,0,0,0,0
"447","17031030101","2010","yes",1,1,0,0,0,1
"448","17031030101","2011","no",22,5,0,0,5,0
"449","17031030101","2012","no",26,2,0,0,2,0
"450","17031030101","2012","yes",5,5,0,1,3,1
"451","17031030101","2013","no",30,2,0,1,0,1
"452","17031030101","2013","yes",3,3,0,0,2,1
"453","17031030101","2014","no",21,1,0,0,1,0
"454","17031030101","2014","yes",1,1,0,0,1,0
"455","17031030101","2015","no",34,6,0,1,5,0
"456","17031030101","2015","yes",5,4,0,2,2,0
"457","17031030101","2016","no",30,4,0,4,0,0
"458","17031030101","2016","yes",2,2,0,1,0,1
"459","17031030101","2017","no",28,2,0,0,1,1
"460","17031030101","2017","yes",3,3,0,0,3,0
"461","17031030102","2009","no",35,3,0,0,0,3
"462","17031030102","2010","no",35,9,0,1,5,3
"463","17031030102","2010","yes",1,0,0,0,0,0
"464","17031030102","2011","no",27,9,0,0,7,2
"465","17031030102","2011","yes",1,1,0,0,0,1
"466","17031030102","2012","no",17,1,0,0,0,1
"467","17031030102","2012","yes",2,2,0,0,1,1
"468","17031030102","2013","no",17,2,0,0,0,2
"469","17031030102","2014","no",17,0,0,0,0,0
"470","17031030102","2014","yes",1,1,0,0,1,0
"471","17031030102","2015","no",33,1,0,0,0,1
"472","17031030102","2016","no",46,6,0,1,1,4
"473","17031030102","2017","no",36,6,0,0,4,2
"474","17031030102","2017","yes",2,2,0,0,1,1
"475","17031030103","2009","no",21,4,0,2,2,0
"476","17031030103","2010","no",16,1,0,0,0,1
"477","17031030103","2010","yes",1,1,0,0,1,0
"478","17031030103","2011","no",9,0,0,0,0,0
"479","17031030103","2011","yes",1,1,0,0,0,1
"480","17031030103","2012","no",25,3,0,0,2,1
"481","17031030103","2012","yes",1,1,0,0,1,0
"482","17031030103","2013","no",24,3,0,0,3,0
"483","17031030103","2014","no",18,5,0,0,0,5
"484","17031030103","2014","yes",1,1,0,0,1,0
"485","17031030103","2015","no",24,1,0,0,0,1
"486","17031030103","2015","yes",2,2,0,1,0,1
"487","17031030103","2016","no",22,1,0,0,0,1
"488","17031030103","2016","yes",5,6,0,2,3,1
"489","17031030103","2017","no",33,3,0,0,3,0
"490","17031030103","2017","yes",4,4,0,2,2,0
"491","17031030104","2009","no",24,2,0,0,1,1
"492","17031030104","2009","yes",1,1,0,0,1,0
"493","17031030104","2010","no",12,2,0,0,1,1
"494","17031030104","2011","no",16,4,0,2,1,1
"495","17031030104","2012","no",15,6,0,0,6,0
"496","17031030104","2012","yes",1,1,0,0,1,0
"497","17031030104","2013","no",16,3,0,0,0,3
"498","17031030104","2013","yes",1,1,0,0,1,0
"499","17031030104","2014","no",12,8,0,0,6,2
"500","17031030104","2014","yes",1,0,0,0,0,0
"501","17031030104","2015","no",12,4,0,0,2,2
"502","17031030104","2015","yes",1,1,0,0,1,0
"503","17031030104","2016","no",16,0,0,0,0,0
"504","17031030104","2017","no",24,4,0,0,3,1
"505","17031030104","2017","yes",4,4,0,1,3,0
"506","17031030200","2009","no",120,12,0,3,6,3
"507","17031030200","2009","yes",13,13,0,2,9,2
"508","17031030200","2010","no",84,10,0,0,4,6
"509","17031030200","2010","yes",9,9,0,3,4,2
"510","17031030200","2011","no",102,6,0,1,3,2
"511","17031030200","2011","yes",13,15,0,2,9,4
"512","17031030200","2012","no",107,19,0,0,8,11
"513","17031030200","2012","yes",14,13,0,1,8,4
"514","17031030200","2013","no",135,21,0,1,12,8
"515","17031030200","2013","yes",10,10,0,1,3,6
"516","17031030200","2014","no",119,21,0,4,8,9
"517","17031030200","2014","yes",5,6,0,0,6,0
"518","17031030200","2015","no",71,10,0,0,6,4
"519","17031030200","2015","yes",10,10,0,0,4,6
"520","17031030200","2016","no",88,12,0,1,4,7
"521","17031030200","2016","yes",7,7,0,1,4,2
"522","17031030200","2017","no",107,13,0,2,5,6
"523","17031030200","2017","yes",6,5,1,2,1,2
"524","17031030300","2009","no",42,4,0,0,0,4
"525","17031030300","2009","yes",1,1,0,0,1,0
"526","17031030300","2010","no",41,3,0,1,2,0
"527","17031030300","2010","yes",2,2,0,1,0,1
"528","17031030300","2011","no",34,4,0,0,4,0
"529","17031030300","2011","yes",4,4,0,0,4,0
"530","17031030300","2012","no",25,1,0,0,0,1
"531","17031030300","2012","yes",1,0,0,0,0,0
"532","17031030300","2013","no",27,1,0,0,0,1
"533","17031030300","2014","no",29,0,0,0,0,0
"534","17031030300","2014","yes",2,2,0,1,1,0
"535","17031030300","2015","no",63,5,0,0,3,2
"536","17031030300","2015","yes",4,4,0,1,1,2
"537","17031030300","2016","no",76,6,0,5,1,0
"538","17031030300","2016","yes",2,2,0,0,1,1
"539","17031030300","2017","no",72,16,0,1,9,6
"540","17031030300","2017","yes",2,1,0,0,1,0
"541","17031030400","2009","no",79,16,0,1,8,7
