"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"174","BEVERLY","2014","yes",12,11,0,1,5,5
"175","BEVERLY","2015","no",255,44,0,8,16,20
"176","BEVERLY","2015","yes",5,5,0,1,3,1
"177","BEVERLY","2016","no",241,50,1,5,14,31
"178","BEVERLY","2016","yes",4,4,0,0,2,2
"179","BEVERLY","2017","no",447,85,0,8,37,40
"180","BEVERLY","2017","yes",11,10,0,1,7,2
"181","BRIDGEPORT","2009","no",593,113,1,14,53,46
"182","BRIDGEPORT","2009","yes",27,25,1,2,9,14
"183","BRIDGEPORT","2010","no",601,106,3,9,66,31
"184","BRIDGEPORT","2010","yes",38,38,0,3,17,18
"185","BRIDGEPORT","2011","no",594,73,0,8,38,27
"186","BRIDGEPORT","2011","yes",32,31,1,6,20,5
"187","BRIDGEPORT","2012","no",557,102,1,10,69,23
"188","BRIDGEPORT","2012","yes",37,37,1,3,19,15
"189","BRIDGEPORT","2013","no",646,127,0,17,75,35
"190","BRIDGEPORT","2013","yes",30,32,1,4,16,12
"191","BRIDGEPORT","2014","no",696,99,1,9,54,36
"192","BRIDGEPORT","2014","yes",37,35,2,2,25,8
"193","BRIDGEPORT","2015","no",572,93,1,17,54,22
"194","BRIDGEPORT","2015","yes",13,14,0,3,6,5
"195","BRIDGEPORT","2016","no",508,67,0,5,48,14
"196","BRIDGEPORT","2016","yes",24,23,0,3,9,11
"197","BRIDGEPORT","2017","no",640,93,2,13,59,21
"198","BRIDGEPORT","2017","yes",19,20,0,5,12,3
"199","BRIGHTON PARK","2009","no",1038,199,1,22,102,75
"200","BRIGHTON PARK","2009","yes",53,54,0,13,24,17
"201","BRIGHTON PARK","2010","no",949,177,5,24,87,66
"202","BRIGHTON PARK","2010","yes",42,43,0,4,25,14
"203","BRIGHTON PARK","2011","no",973,227,1,31,109,87
"204","BRIGHTON PARK","2011","yes",45,45,3,4,31,10
"205","BRIGHTON PARK","2012","no",1014,176,1,13,93,70
"206","BRIGHTON PARK","2012","yes",36,37,2,5,18,14
"207","BRIGHTON PARK","2013","no",998,193,4,22,101,70
"208","BRIGHTON PARK","2013","yes",35,36,2,7,22,7
"209","BRIGHTON PARK","2014","no",1096,172,1,18,87,67
"210","BRIGHTON PARK","2014","yes",50,50,0,10,29,11
"211","BRIGHTON PARK","2015","no",698,107,1,12,52,43
"212","BRIGHTON PARK","2015","yes",19,17,0,5,12,0
"213","BRIGHTON PARK","2016","no",671,97,1,8,57,32
"214","BRIGHTON PARK","2016","yes",26,25,1,3,13,9
"215","BRIGHTON PARK","2017","no",1075,186,2,15,112,59
"216","BRIGHTON PARK","2017","yes",37,41,0,8,23,10
"217","BURNSIDE","2009","no",74,51,1,4,29,18
"218","BURNSIDE","2009","yes",1,1,0,0,1,0
"219","BURNSIDE","2010","no",79,24,0,0,10,14
"220","BURNSIDE","2010","yes",5,5,0,2,3,0
"221","BURNSIDE","2011","no",60,19,0,0,5,14
"222","BURNSIDE","2011","yes",4,4,0,2,1,1
"223","BURNSIDE","2012","no",74,29,0,1,11,17
"224","BURNSIDE","2012","yes",6,6,0,0,2,4
"225","BURNSIDE","2013","no",64,12,0,2,8,2
"226","BURNSIDE","2013","yes",8,8,0,2,6,0
"227","BURNSIDE","2014","no",95,21,0,2,9,10
"228","BURNSIDE","2014","yes",4,6,0,0,5,1
"229","BURNSIDE","2015","no",35,2,0,0,0,2
"230","BURNSIDE","2016","no",34,7,0,1,6,0
"231","BURNSIDE","2016","yes",2,2,0,0,2,0
"232","BURNSIDE","2017","no",71,21,0,1,13,7
"233","BURNSIDE","2017","yes",2,2,0,0,2,0
"234","CALUMET HEIGHTS","2009","no",441,119,0,10,64,45
"235","CALUMET HEIGHTS","2009","yes",16,16,0,0,11,5
"236","CALUMET HEIGHTS","2010","no",441,132,1,20,57,55
"237","CALUMET HEIGHTS","2010","yes",21,21,1,4,12,5
"238","CALUMET HEIGHTS","2011","no",397,109,0,6,50,53
"239","CALUMET HEIGHTS","2011","yes",11,13,0,1,8,4
"240","CALUMET HEIGHTS","2012","no",372,111,0,7,57,47
"241","CALUMET HEIGHTS","2012","yes",18,19,0,2,10,7
"242","CALUMET HEIGHTS","2013","no",411,124,0,9,62,53
"243","CALUMET HEIGHTS","2013","yes",16,16,0,4,8,4
"244","CALUMET HEIGHTS","2014","no",395,144,2,15,62,67
"245","CALUMET HEIGHTS","2014","yes",15,15,1,2,7,6
"246","CALUMET HEIGHTS","2015","no",245,83,0,8,47,28
"247","CALUMET HEIGHTS","2015","yes",9,9,1,3,4,2
"248","CALUMET HEIGHTS","2016","no",261,74,1,5,26,43
"249","CALUMET HEIGHTS","2016","yes",14,14,1,3,3,8
"250","CALUMET HEIGHTS","2017","no",388,118,2,8,65,45
"251","CALUMET HEIGHTS","2017","yes",13,13,0,1,11,1
"252","CHATHAM","2009","no",1225,463,1,37,296,130
"253","CHATHAM","2009","yes",61,62,0,11,33,18
"254","CHATHAM","2010","no",1141,352,1,20,225,107
"255","CHATHAM","2010","yes",59,59,1,10,28,21
"256","CHATHAM","2011","no",1139,335,2,32,190,113
"257","CHATHAM","2011","yes",53,56,0,7,24,25
"258","CHATHAM","2012","no",1139,362,0,36,211,115
"259","CHATHAM","2012","yes",69,68,2,12,38,18
"260","CHATHAM","2013","no",1201,301,5,15,180,106
"261","CHATHAM","2013","yes",57,61,0,7,38,16
"262","CHATHAM","2014","no",1318,354,3,25,231,98
"263","CHATHAM","2014","yes",43,42,0,8,25,9
"264","CHATHAM","2015","no",974,247,3,18,128,101
"265","CHATHAM","2015","yes",34,34,2,7,20,7
"266","CHATHAM","2016","no",854,225,3,20,147,58
"267","CHATHAM","2016","yes",29,27,0,3,8,16
"268","CHATHAM","2017","no",1461,372,0,22,189,161
"269","CHATHAM","2017","yes",44,43,1,4,24,15
"270","CHICAGO LAWN","2009","no",1189,232,1,22,92,118
"271","CHICAGO LAWN","2009","yes",76,77,1,11,32,34
"272","CHICAGO LAWN","2010","no",1192,300,0,15,132,153
"273","CHICAGO LAWN","2010","yes",82,88,0,8,44,36
"274","CHICAGO LAWN","2011","no",1164,199,1,17,87,95
"275","CHICAGO LAWN","2011","yes",56,55,1,7,28,20
"276","CHICAGO LAWN","2012","no",1010,219,0,20,97,102
"277","CHICAGO LAWN","2012","yes",91,87,1,11,39,37
"278","CHICAGO LAWN","2013","no",1028,155,0,12,77,66
"279","CHICAGO LAWN","2013","yes",75,74,0,11,43,20
"280","CHICAGO LAWN","2014","no",1189,185,1,9,98,78
"281","CHICAGO LAWN","2014","yes",48,51,0,8,27,16
"282","CHICAGO LAWN","2015","no",607,85,1,5,52,28
"283","CHICAGO LAWN","2015","yes",30,27,2,7,16,4
"284","CHICAGO LAWN","2016","no",422,69,0,7,37,25
