"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"910","NEW CITY","2014","no",760,167,1,16,76,75
"911","NEW CITY","2014","yes",38,43,3,7,31,5
"912","NEW CITY","2015","no",519,66,1,11,33,22
"913","NEW CITY","2015","yes",33,29,4,7,16,6
"914","NEW CITY","2016","no",469,74,1,3,41,30
"915","NEW CITY","2016","yes",32,31,1,0,11,20
"916","NEW CITY","2017","no",846,149,0,17,88,44
"917","NEW CITY","2017","yes",45,47,1,6,25,16
"918","NORTH CENTER","2009","no",810,140,0,16,58,66
"919","NORTH CENTER","2009","yes",58,60,2,10,28,22
"920","NORTH CENTER","2010","no",753,144,1,20,55,69
"921","NORTH CENTER","2010","yes",49,47,2,2,23,22
"922","NORTH CENTER","2011","no",729,116,0,14,42,60
"923","NORTH CENTER","2011","yes",42,42,0,8,16,18
"924","NORTH CENTER","2012","no",677,108,0,15,41,52
"925","NORTH CENTER","2012","yes",47,48,0,6,27,15
"926","NORTH CENTER","2013","no",751,114,0,18,48,48
"927","NORTH CENTER","2013","yes",63,58,0,4,35,19
"928","NORTH CENTER","2014","no",738,106,0,7,45,54
"929","NORTH CENTER","2014","yes",49,50,0,7,28,15
"930","NORTH CENTER","2015","no",495,69,0,9,33,27
"931","NORTH CENTER","2015","yes",25,22,1,5,12,5
"932","NORTH CENTER","2016","no",488,72,0,6,40,26
"933","NORTH CENTER","2016","yes",22,21,1,2,11,8
"934","NORTH CENTER","2017","no",545,97,0,11,44,42
"935","NORTH CENTER","2017","yes",32,32,0,2,25,5
"936","NORTH LAWNDALE","2009","no",1130,324,1,32,152,140
"937","NORTH LAWNDALE","2009","yes",63,64,0,14,36,14
"938","NORTH LAWNDALE","2010","no",1070,345,1,31,162,152
"939","NORTH LAWNDALE","2010","yes",79,90,0,13,47,30
"940","NORTH LAWNDALE","2011","no",1077,331,5,28,195,108
"941","NORTH LAWNDALE","2011","yes",63,65,0,5,32,28
"942","NORTH LAWNDALE","2012","no",1081,363,5,47,177,139
"943","NORTH LAWNDALE","2012","yes",68,70,1,12,36,22
"944","NORTH LAWNDALE","2013","no",1018,362,2,27,150,185
"945","NORTH LAWNDALE","2013","yes",103,107,1,18,56,33
"946","NORTH LAWNDALE","2014","no",1090,309,3,30,128,151
"947","NORTH LAWNDALE","2014","yes",69,66,0,7,41,18
"948","NORTH LAWNDALE","2015","no",683,155,2,33,53,69
"949","NORTH LAWNDALE","2015","yes",27,25,2,4,18,3
"950","NORTH LAWNDALE","2016","no",539,169,2,6,89,74
"951","NORTH LAWNDALE","2016","yes",30,30,1,4,14,12
"952","NORTH LAWNDALE","2017","no",1089,352,3,36,186,130
"953","NORTH LAWNDALE","2017","yes",61,63,1,12,37,14
"954","NORTH PARK","2009","no",592,105,0,11,58,36
"955","NORTH PARK","2009","yes",27,27,0,2,11,14
"956","NORTH PARK","2010","no",596,96,0,16,47,33
"957","NORTH PARK","2010","yes",36,36,0,5,19,12
"958","NORTH PARK","2011","no",611,112,0,12,61,39
"959","NORTH PARK","2011","yes",26,27,0,5,17,5
"960","NORTH PARK","2012","no",586,117,0,26,49,42
"961","NORTH PARK","2012","yes",25,22,0,3,15,4
"962","NORTH PARK","2013","no",580,109,0,3,55,51
"963","NORTH PARK","2013","yes",29,28,0,3,18,7
"964","NORTH PARK","2014","no",617,95,0,7,36,52
"965","NORTH PARK","2014","yes",23,24,0,2,13,9
"966","NORTH PARK","2015","no",414,73,0,18,29,26
"967","NORTH PARK","2015","yes",20,19,0,1,11,7
"968","NORTH PARK","2016","no",391,53,0,1,33,19
"969","NORTH PARK","2016","yes",12,11,1,1,3,7
"970","NORTH PARK","2017","no",559,102,0,7,49,46
"971","NORTH PARK","2017","yes",22,22,0,1,18,3
"972","NORWOOD PARK","2009","no",1138,270,0,55,108,107
"973","NORWOOD PARK","2009","yes",40,40,0,4,20,16
"974","NORWOOD PARK","2010","no",1111,250,3,25,105,120
"975","NORWOOD PARK","2010","yes",20,19,0,4,7,8
"976","NORWOOD PARK","2011","no",1044,210,2,23,101,86
"977","NORWOOD PARK","2011","yes",28,27,0,3,13,11
"978","NORWOOD PARK","2012","no",1067,181,3,17,80,84
"979","NORWOOD PARK","2012","yes",30,29,0,3,16,10
"980","NORWOOD PARK","2013","no",1241,220,0,25,103,92
"981","NORWOOD PARK","2013","yes",38,38,0,2,26,10
"982","NORWOOD PARK","2014","no",1276,222,3,19,113,90
"983","NORWOOD PARK","2014","yes",25,24,0,2,18,4
"984","NORWOOD PARK","2015","no",900,166,3,15,94,57
"985","NORWOOD PARK","2015","yes",19,19,0,4,14,1
"986","NORWOOD PARK","2016","no",832,178,2,24,93,61
"987","NORWOOD PARK","2016","yes",18,16,1,1,7,8
"988","NORWOOD PARK","2017","no",1126,164,3,23,84,57
"989","NORWOOD PARK","2017","yes",23,22,1,3,9,10
"990","OAKLAND","2009","no",83,26,0,3,13,10
"991","OAKLAND","2009","yes",2,2,0,2,0,0
"992","OAKLAND","2010","no",70,16,0,0,9,7
"993","OAKLAND","2010","yes",2,2,0,0,0,2
"994","OAKLAND","2011","no",90,31,0,4,15,12
"995","OAKLAND","2011","yes",4,4,0,0,2,2
"996","OAKLAND","2012","no",88,38,0,1,23,14
"997","OAKLAND","2012","yes",9,9,0,0,5,4
"998","OAKLAND","2013","no",78,13,0,5,4,4
"999","OAKLAND","2013","yes",2,2,0,0,1,1
"1000","OAKLAND","2014","no",102,43,2,5,21,17
"1001","OAKLAND","2014","yes",6,5,0,1,2,2
"1002","OAKLAND","2015","no",82,30,0,4,16,10
"1003","OAKLAND","2015","yes",3,3,0,3,0,0
"1004","OAKLAND","2016","no",85,44,0,4,21,19
"1005","OAKLAND","2016","yes",2,2,0,2,0,0
"1006","OAKLAND","2017","no",134,46,1,7,28,11
"1007","OAKLAND","2017","yes",3,3,0,1,2,0
"1008","OHARE","2009","no",759,139,2,12,68,59
"1009","OHARE","2009","yes",19,19,0,3,7,9
"1010","OHARE","2010","no",658,144,3,8,72,64
"1011","OHARE","2010","yes",13,13,0,2,4,7
"1012","OHARE","2011","no",709,143,0,15,54,74
"1013","OHARE","2011","yes",14,14,0,1,5,8
"1014","OHARE","2012","no",718,153,0,29,55,69
"1015","OHARE","2012","yes",13,13,0,2,6,5
"1016","OHARE","2013","no",825,148,1,34,60,54
"1017","OHARE","2013","yes",22,22,1,5,12,5
"1018","OHARE","2014","no",912,195,1,30,84,81
"1019","OHARE","2014","yes",18,16,0,3,8,5
"1020","OHARE","2015","no",1049,200,1,40,89,71
"1021","OHARE","2015","yes",20,21,0,2,11,8
"1022","OHARE","2016","no",1066,184,1,43,71,70
"1023","OHARE","2016","yes",21,21,0,3,10,8
"1024","OHARE","2017","no",1193,178,0,15,89,74
"1025","OHARE","2017","yes",21,19,1,1,8,10
"1026","PORTAGE PARK","2009","no",1879,330,0,28,142,160
"1027","PORTAGE PARK","2009","yes",77,75,1,8,32,35
"1028","PORTAGE PARK","2010","no",1864,309,1,23,158,128
"1029","PORTAGE PARK","2010","yes",90,94,0,8,53,33
"1030","PORTAGE PARK","2011","no",1700,268,2,25,115,128
"1031","PORTAGE PARK","2011","yes",88,85,1,14,43,28
"1032","PORTAGE PARK","2012","no",1713,272,2,16,134,122
"1033","PORTAGE PARK","2012","yes",79,80,0,4,38,38
"1034","PORTAGE PARK","2013","no",1715,263,2,32,118,113
"1035","PORTAGE PARK","2013","yes",80,80,1,12,48,20
"1036","PORTAGE PARK","2014","no",1693,212,0,32,99,81
"1037","PORTAGE PARK","2014","yes",80,71,2,9,40,22
"1038","PORTAGE PARK","2015","no",1046,113,1,18,56,39
"1039","PORTAGE PARK","2015","yes",41,40,1,11,19,10
"1040","PORTAGE PARK","2016","no",1001,127,3,17,53,57
"1041","PORTAGE PARK","2016","yes",45,42,2,6,16,20
"1042","PORTAGE PARK","2017","no",1413,187,1,23,87,77
"1043","PORTAGE PARK","2017","yes",47,46,0,8,25,13
"1044","PULLMAN","2009","no",262,70,2,12,35,23
"1045","PULLMAN","2009","yes",4,5,0,0,2,3
"1046","PULLMAN","2010","no",214,69,1,11,27,31
"1047","PULLMAN","2010","yes",1,1,0,0,1,0
"1048","PULLMAN","2011","no",228,57,0,8,36,13
"1049","PULLMAN","2011","yes",5,5,0,0,4,1
"1050","PULLMAN","2012","no",247,68,2,6,44,18
"1051","PULLMAN","2012","yes",3,2,2,0,2,0
"1052","PULLMAN","2013","no",214,65,0,7,49,9
"1053","PULLMAN","2013","yes",5,5,0,1,3,1
"1054","PULLMAN","2014","no",326,52,2,9,26,17
"1055","PULLMAN","2014","yes",8,7,0,0,4,3
"1056","PULLMAN","2015","no",276,66,2,2,44,20
"1057","PULLMAN","2015","yes",2,2,0,0,2,0
"1058","PULLMAN","2016","no",301,84,0,3,53,28
"1059","PULLMAN","2016","yes",1,1,0,0,0,1
"1060","PULLMAN","2017","no",361,89,0,7,61,21
"1061","PULLMAN","2017","yes",4,3,1,0,2,1
"1062","RIVERDALE","2009","no",253,94,0,15,40,39
"1063","RIVERDALE","2009","yes",4,5,0,0,1,4
"1064","RIVERDALE","2010","no",245,74,1,8,43,23
"1065","RIVERDALE","2010","yes",4,4,0,1,3,0
"1066","RIVERDALE","2011","no",219,80,3,4,51,25
"1067","RIVERDALE","2011","yes",9,8,0,1,3,4
"1068","RIVERDALE","2012","no",229,98,1,13,53,32
"1069","RIVERDALE","2012","yes",4,4,0,1,2,1
"1070","RIVERDALE","2013","no",218,67,0,7,47,13
"1071","RIVERDALE","2013","yes",7,9,0,1,4,4
"1072","RIVERDALE","2014","no",283,73,1,5,49,19
"1073","RIVERDALE","2014","yes",4,4,0,1,3,0
"1074","RIVERDALE","2015","no",257,65,0,4,38,23
"1075","RIVERDALE","2015","yes",3,3,0,0,2,1
"1076","RIVERDALE","2016","no",302,87,2,5,54,28
"1077","RIVERDALE","2016","yes",3,3,0,0,1,2
"1078","RIVERDALE","2017","no",334,120,0,5,91,24
"1079","RIVERDALE","2017","yes",6,6,1,2,1,3
"1080","ROGERS PARK","2009","no",936,135,1,14,71,50
"1081","ROGERS PARK","2009","yes",80,77,2,8,39,30
"1082","ROGERS PARK","2010","no",878,120,1,2,58,60
"1083","ROGERS PARK","2010","yes",71,72,1,7,34,31
"1084","ROGERS PARK","2011","no",802,110,0,11,48,51
"1085","ROGERS PARK","2011","yes",57,55,0,8,26,21
"1086","ROGERS PARK","2012","no",807,117,0,8,57,52
"1087","ROGERS PARK","2012","yes",77,76,1,13,40,23
"1088","ROGERS PARK","2013","no",851,122,0,9,54,59
"1089","ROGERS PARK","2013","yes",58,51,0,4,30,17
"1090","ROGERS PARK","2014","no",833,104,0,17,38,49
"1091","ROGERS PARK","2014","yes",53,49,0,6,32,11
"1092","ROGERS PARK","2015","no",414,44,0,2,23,19
"1093","ROGERS PARK","2015","yes",25,24,1,5,18,1
"1094","ROGERS PARK","2016","no",348,67,0,7,44,16
"1095","ROGERS PARK","2016","yes",42,40,3,5,20,15
"1096","ROGERS PARK","2017","no",732,67,0,8,35,24
"1097","ROGERS PARK","2017","yes",37,37,0,4,25,8
"1098","ROSELAND","2009","no",1221,430,3,39,231,160
"1099","ROSELAND","2009","yes",80,80,1,11,37,32
"1100","ROSELAND","2010","no",1256,436,6,31,228,177
"1101","ROSELAND","2010","yes",83,87,0,5,41,41
"1102","ROSELAND","2011","no",1130,385,1,45,168,172
"1103","ROSELAND","2011","yes",57,59,0,8,35,16
"1104","ROSELAND","2012","no",1094,365,1,44,191,130
"1105","ROSELAND","2012","yes",54,51,3,7,27,17
"1106","ROSELAND","2013","no",1119,329,7,30,172,127
"1107","ROSELAND","2013","yes",53,51,0,8,32,11
"1108","ROSELAND","2014","no",1182,312,1,38,154,120
"1109","ROSELAND","2014","yes",40,37,0,8,25,4
"1110","ROSELAND","2015","no",962,255,2,16,117,122
"1111","ROSELAND","2015","yes",31,30,0,5,19,6
"1112","ROSELAND","2016","no",988,270,1,25,167,78
"1113","ROSELAND","2016","yes",19,21,0,2,4,15
"1114","ROSELAND","2017","no",1418,285,2,33,156,96
"1115","ROSELAND","2017","yes",27,29,0,4,16,9
"1116","SOUTH CHICAGO","2009","no",488,118,0,21,67,30
"1117","SOUTH CHICAGO","2009","yes",31,32,0,7,16,9
"1118","SOUTH CHICAGO","2010","no",457,114,1,7,62,45
"1119","SOUTH CHICAGO","2010","yes",38,36,3,4,25,7
"1120","SOUTH CHICAGO","2011","no",434,110,0,12,79,19
"1121","SOUTH CHICAGO","2011","yes",32,31,1,6,17,8
"1122","SOUTH CHICAGO","2012","no",423,101,0,8,47,46
"1123","SOUTH CHICAGO","2012","yes",29,28,0,6,13,9
"1124","SOUTH CHICAGO","2013","no",423,116,2,21,51,44
"1125","SOUTH CHICAGO","2013","yes",27,29,0,4,19,6
"1126","SOUTH CHICAGO","2014","no",424,100,1,8,56,36
"1127","SOUTH CHICAGO","2014","yes",27,27,0,5,18,4
"1128","SOUTH CHICAGO","2015","no",266,54,0,6,20,28
"1129","SOUTH CHICAGO","2015","yes",13,14,0,4,6,4
"1130","SOUTH CHICAGO","2016","no",238,65,0,1,46,18
"1131","SOUTH CHICAGO","2016","yes",16,17,0,2,9,6
"1132","SOUTH CHICAGO","2017","no",407,95,1,9,59,27
"1133","SOUTH CHICAGO","2017","yes",23,22,2,3,16,3
"1134","SOUTH DEERING","2009","no",668,220,4,27,113,80
"1135","SOUTH DEERING","2009","yes",14,13,3,2,4,7
"1136","SOUTH DEERING","2010","no",634,210,0,21,103,86
"1137","SOUTH DEERING","2010","yes",14,14,0,2,9,3
"1138","SOUTH DEERING","2011","no",682,197,4,20,103,74
"1139","SOUTH DEERING","2011","yes",12,12,0,2,7,3
"1140","SOUTH DEERING","2012","no",559,197,4,29,105,63
"1141","SOUTH DEERING","2012","yes",18,18,1,2,13,3
"1142","SOUTH DEERING","2013","no",687,226,4,35,126,65
"1143","SOUTH DEERING","2013","yes",16,19,0,4,11,4
"1144","SOUTH DEERING","2014","no",707,181,3,24,116,41
"1145","SOUTH DEERING","2014","yes",11,9,1,1,8,0
"1146","SOUTH DEERING","2015","no",518,135,1,18,82,35
"1147","SOUTH DEERING","2015","yes",6,5,0,1,3,1
"1148","SOUTH DEERING","2016","no",559,164,0,13,118,33
"1149","SOUTH DEERING","2016","yes",13,13,0,2,5,6
"1150","SOUTH DEERING","2017","no",788,217,4,21,129,67
"1151","SOUTH DEERING","2017","yes",9,8,0,0,5,3
"1152","SOUTH LAWNDALE","2009","no",1162,215,2,27,102,86
"1153","SOUTH LAWNDALE","2009","yes",95,98,0,13,44,41
"1154","SOUTH LAWNDALE","2010","no",1107,245,2,21,132,92
"1155","SOUTH LAWNDALE","2010","yes",79,82,0,9,34,39
"1156","SOUTH LAWNDALE","2011","no",1092,185,1,13,93,79
"1157","SOUTH LAWNDALE","2011","yes",87,87,2,17,36,34
"1158","SOUTH LAWNDALE","2012","no",1146,232,5,24,110,98
"1159","SOUTH LAWNDALE","2012","yes",78,77,4,11,39,27
"1160","SOUTH LAWNDALE","2013","no",1135,247,0,42,98,107
"1161","SOUTH LAWNDALE","2013","yes",79,79,0,8,42,29
"1162","SOUTH LAWNDALE","2014","no",1132,204,1,16,73,115
"1163","SOUTH LAWNDALE","2014","yes",68,70,1,12,35,23
"1164","SOUTH LAWNDALE","2015","no",664,90,0,7,38,45
"1165","SOUTH LAWNDALE","2015","yes",35,33,0,7,16,10
"1166","SOUTH LAWNDALE","2016","no",625,114,0,6,65,43
"1167","SOUTH LAWNDALE","2016","yes",35,33,1,8,11,14
"1168","SOUTH LAWNDALE","2017","no",1205,213,2,17,95,101
"1169","SOUTH LAWNDALE","2017","yes",62,67,1,13,36,18
"1170","SOUTH SHORE","2009","no",1078,316,1,18,138,160
"1171","SOUTH SHORE","2009","yes",73,73,1,8,34,31
"1172","SOUTH SHORE","2010","no",1034,257,1,31,110,116
"1173","SOUTH SHORE","2010","yes",75,75,2,5,44,26
"1174","SOUTH SHORE","2011","no",1025,296,1,11,131,154
"1175","SOUTH SHORE","2011","yes",64,67,1,11,35,21
"1176","SOUTH SHORE","2012","no",1000,241,1,20,123,98
"1177","SOUTH SHORE","2012","yes",63,62,1,7,33,22
"1178","SOUTH SHORE","2013","no",943,252,4,20,133,99
"1179","SOUTH SHORE","2013","yes",60,60,0,8,36,16
"1180","SOUTH SHORE","2014","no",1011,234,0,16,98,120
"1181","SOUTH SHORE","2014","yes",61,63,1,10,35,18
"1182","SOUTH SHORE","2015","no",719,161,1,17,80,64
"1183","SOUTH SHORE","2015","yes",30,27,3,5,15,7
"1184","SOUTH SHORE","2016","no",512,144,0,7,84,53
"1185","SOUTH SHORE","2016","yes",21,25,1,7,13,5
"1186","SOUTH SHORE","2017","no",1173,275,0,22,151,102
"1187","SOUTH SHORE","2017","yes",48,51,0,7,32,12
"1188","UPTOWN","2009","no",981,119,2,12,60,47
"1189","UPTOWN","2009","yes",94,96,1,9,37,50
"1190","UPTOWN","2010","no",936,135,1,13,58,64
"1191","UPTOWN","2010","yes",110,106,0,11,52,43
"1192","UPTOWN","2011","no",866,115,0,7,60,48
"1193","UPTOWN","2011","yes",88,85,1,13,40,32
"1194","UPTOWN","2012","no",808,127,3,18,53,56
"1195","UPTOWN","2012","yes",86,84,2,11,39,34
"1196","UPTOWN","2013","no",970,145,1,27,64,54
"1197","UPTOWN","2013","yes",94,90,0,8,58,24
"1198","UPTOWN","2014","no",927,129,0,20,57,52
"1199","UPTOWN","2014","yes",69,69,0,3,47,19
"1200","UPTOWN","2015","no",598,80,0,12,32,36
"1201","UPTOWN","2015","yes",44,42,1,10,23,9
"1202","UPTOWN","2016","no",505,76,2,7,41,28
"1203","UPTOWN","2016","yes",37,37,0,3,16,18
"1204","UPTOWN","2017","no",817,128,1,17,63,48
"1205","UPTOWN","2017","yes",63,62,1,13,33,16
"1206","WASHINGTON HEIGHTS","2009","no",930,258,3,20,128,110
"1207","WASHINGTON HEIGHTS","2009","yes",26,26,0,7,10,9
"1208","WASHINGTON HEIGHTS","2010","no",870,298,1,27,147,124
"1209","WASHINGTON HEIGHTS","2010","yes",33,34,1,4,22,8
"1210","WASHINGTON HEIGHTS","2011","no",786,246,1,41,91,114
"1211","WASHINGTON HEIGHTS","2011","yes",27,27,0,2,17,8
"1212","WASHINGTON HEIGHTS","2012","no",764,221,0,23,109,89
"1213","WASHINGTON HEIGHTS","2012","yes",28,25,1,1,16,8
"1214","WASHINGTON HEIGHTS","2013","no",772,233,3,23,136,74
"1215","WASHINGTON HEIGHTS","2013","yes",22,25,0,4,14,7
"1216","WASHINGTON HEIGHTS","2014","no",834,213,0,37,95,81
"1217","WASHINGTON HEIGHTS","2014","yes",30,30,0,7,12,11
"1218","WASHINGTON HEIGHTS","2015","no",696,182,2,14,107,61
"1219","WASHINGTON HEIGHTS","2015","yes",15,18,1,7,8,3
"1220","WASHINGTON HEIGHTS","2016","no",705,219,4,14,122,83
"1221","WASHINGTON HEIGHTS","2016","yes",18,18,0,2,7,9
"1222","WASHINGTON HEIGHTS","2017","no",1158,307,5,26,165,116
"1223","WASHINGTON HEIGHTS","2017","yes",16,15,0,1,11,3
"1224","WASHINGTON PARK","2009","no",462,169,3,24,89,56
"1225","WASHINGTON PARK","2009","yes",31,33,0,7,12,14
"1226","WASHINGTON PARK","2010","no",399,112,0,11,56,45
"1227","WASHINGTON PARK","2010","yes",27,26,1,5,12,9
"1228","WASHINGTON PARK","2011","no",368,126,0,14,51,61
"1229","WASHINGTON PARK","2011","yes",20,18,2,0,11,7
"1230","WASHINGTON PARK","2012","no",319,108,0,13,56,39
"1231","WASHINGTON PARK","2012","yes",22,25,0,4,15,6
"1232","WASHINGTON PARK","2013","no",319,95,2,10,46,39
"1233","WASHINGTON PARK","2013","yes",31,29,0,3,14,12
"1234","WASHINGTON PARK","2014","no",333,92,0,8,43,41
"1235","WASHINGTON PARK","2014","yes",14,15,0,2,11,2
"1236","WASHINGTON PARK","2015","no",219,39,1,4,17,18
"1237","WASHINGTON PARK","2015","yes",9,8,0,2,4,2
"1238","WASHINGTON PARK","2016","no",199,54,0,5,21,28
"1239","WASHINGTON PARK","2016","yes",8,8,0,2,4,2
"1240","WASHINGTON PARK","2017","no",378,109,1,4,53,52
"1241","WASHINGTON PARK","2017","yes",20,22,0,3,13,6
"1242","WEST ELSDON","2009","no",464,82,0,1,38,43
"1243","WEST ELSDON","2009","yes",16,16,0,1,11,4
"1244","WEST ELSDON","2010","no",435,83,0,3,42,38
"1245","WEST ELSDON","2010","yes",20,22,0,3,13,6
"1246","WEST ELSDON","2011","no",402,85,0,7,29,49
"1247","WEST ELSDON","2011","yes",21,21,0,2,16,3
"1248","WEST ELSDON","2012","no",439,89,1,10,34,45
"1249","WEST ELSDON","2012","yes",17,16,0,0,9,7
"1250","WEST ELSDON","2013","no",420,67,0,3,23,41
"1251","WEST ELSDON","2013","yes",14,13,0,2,7,4
"1252","WEST ELSDON","2014","no",425,72,0,5,25,42
"1253","WEST ELSDON","2014","yes",12,14,0,1,9,4
"1254","WEST ELSDON","2015","no",180,24,0,0,7,17
"1255","WEST ELSDON","2015","yes",7,7,0,0,2,5
"1256","WEST ELSDON","2016","no",158,12,1,3,6,3
"1257","WEST ELSDON","2016","yes",6,6,0,1,4,1
"1258","WEST ELSDON","2017","no",379,48,1,4,26,18
"1259","WEST ELSDON","2017","yes",15,13,0,4,7,2
"1260","WEST ENGLEWOOD","2009","no",1064,341,6,32,174,135
"1261","WEST ENGLEWOOD","2009","yes",76,79,0,11,40,28
"1262","WEST ENGLEWOOD","2010","no",974,335,1,26,155,154
"1263","WEST ENGLEWOOD","2010","yes",69,75,1,11,36,28
"1264","WEST ENGLEWOOD","2011","no",938,314,1,21,131,162
"1265","WEST ENGLEWOOD","2011","yes",71,72,1,13,38,21
"1266","WEST ENGLEWOOD","2012","no",776,274,2,28,145,101
"1267","WEST ENGLEWOOD","2012","yes",51,66,0,6,24,36
"1268","WEST ENGLEWOOD","2013","no",837,266,2,32,120,114
"1269","WEST ENGLEWOOD","2013","yes",62,62,0,13,28,21
"1270","WEST ENGLEWOOD","2014","no",901,268,2,24,136,108
"1271","WEST ENGLEWOOD","2014","yes",60,61,2,9,37,15
"1272","WEST ENGLEWOOD","2015","no",478,131,0,23,55,53
"1273","WEST ENGLEWOOD","2015","yes",35,31,3,7,19,5
"1274","WEST ENGLEWOOD","2016","no",314,93,0,16,44,33
"1275","WEST ENGLEWOOD","2016","yes",19,17,2,4,9,4
"1276","WEST ENGLEWOOD","2017","no",969,293,1,34,155,104
"1277","WEST ENGLEWOOD","2017","yes",62,65,2,8,48,9
"1278","WEST GARFIELD PARK","2009","no",898,314,4,33,148,133
"1279","WEST GARFIELD PARK","2009","yes",52,55,0,6,32,17
"1280","WEST GARFIELD PARK","2010","no",929,326,2,36,177,113
"1281","WEST GARFIELD PARK","2010","yes",55,56,0,7,26,23
"1282","WEST GARFIELD PARK","2011","no",851,270,0,25,122,123
"1283","WEST GARFIELD PARK","2011","yes",67,66,0,6,38,22
"1284","WEST GARFIELD PARK","2012","no",849,246,0,16,142,88
"1285","WEST GARFIELD PARK","2012","yes",60,56,2,8,32,16
"1286","WEST GARFIELD PARK","2013","no",866,321,3,27,142,152
"1287","WEST GARFIELD PARK","2013","yes",57,56,0,8,31,17
"1288","WEST GARFIELD PARK","2014","no",963,385,5,48,166,171
"1289","WEST GARFIELD PARK","2014","yes",56,50,1,7,33,10
"1290","WEST GARFIELD PARK","2015","no",677,208,1,22,124,62
"1291","WEST GARFIELD PARK","2015","yes",29,31,1,9,17,5
"1292","WEST GARFIELD PARK","2016","no",624,194,4,17,102,75
"1293","WEST GARFIELD PARK","2016","yes",23,21,1,1,10,10
"1294","WEST GARFIELD PARK","2017","no",1119,362,0,33,193,136
"1295","WEST GARFIELD PARK","2017","yes",51,48,1,6,34,8
"1296","WEST LAWN","2009","no",801,165,1,13,66,86
"1297","WEST LAWN","2009","yes",31,32,0,5,14,13
"1298","WEST LAWN","2010","no",816,194,1,8,68,118
"1299","WEST LAWN","2010","yes",21,28,0,10,12,6
"1300","WEST LAWN","2011","no",736,138,0,6,60,72
"1301","WEST LAWN","2011","yes",27,29,0,6,11,12
"1302","WEST LAWN","2012","no",758,146,1,8,70,68
"1303","WEST LAWN","2012","yes",26,23,0,3,10,10
"1304","WEST LAWN","2013","no",796,121,0,14,56,51
"1305","WEST LAWN","2013","yes",29,27,0,2,15,10
"1306","WEST LAWN","2014","no",845,156,0,14,72,70
"1307","WEST LAWN","2014","yes",25,22,0,5,12,5
"1308","WEST LAWN","2015","no",500,61,0,3,28,30
"1309","WEST LAWN","2015","yes",7,7,0,0,6,1
"1310","WEST LAWN","2016","no",399,58,0,5,26,27
"1311","WEST LAWN","2016","yes",6,6,0,1,2,3
"1312","WEST LAWN","2017","no",848,149,3,16,81,52
"1313","WEST LAWN","2017","yes",20,20,0,9,9,2
"1314","WEST PULLMAN","2009","no",502,179,0,10,118,51
"1315","WEST PULLMAN","2009","yes",21,23,0,3,12,8
"1316","WEST PULLMAN","2010","no",472,181,1,18,103,60
"1317","WEST PULLMAN","2010","yes",36,38,1,6,21,11
"1318","WEST PULLMAN","2011","no",446,127,0,8,69,50
"1319","WEST PULLMAN","2011","yes",27,27,1,2,15,10
"1320","WEST PULLMAN","2012","no",405,147,0,15,80,52
"1321","WEST PULLMAN","2012","yes",23,25,0,3,14,8
"1322","WEST PULLMAN","2013","no",428,121,0,10,64,47
"1323","WEST PULLMAN","2013","yes",29,26,0,0,17,9
"1324","WEST PULLMAN","2014","no",440,125,2,9,68,48
"1325","WEST PULLMAN","2014","yes",18,18,0,5,8,5
"1326","WEST PULLMAN","2015","no",341,80,0,10,42,28
"1327","WEST PULLMAN","2015","yes",9,8,1,4,3,1
"1328","WEST PULLMAN","2016","no",280,90,3,11,48,31
"1329","WEST PULLMAN","2016","yes",9,10,0,0,8,2
"1330","WEST PULLMAN","2017","no",490,152,1,12,69,71
"1331","WEST PULLMAN","2017","yes",22,22,0,2,15,5
"1332","WEST RIDGE","2009","no",1440,217,1,8,93,116
"1333","WEST RIDGE","2009","yes",81,80,3,13,36,31
"1334","WEST RIDGE","2010","no",1373,188,1,11,90,87
"1335","WEST RIDGE","2010","yes",76,76,2,9,39,28
"1336","WEST RIDGE","2011","no",1278,195,2,24,89,82
"1337","WEST RIDGE","2011","yes",69,73,1,6,42,25
"1338","WEST RIDGE","2012","no",1365,226,0,17,128,81
"1339","WEST RIDGE","2012","yes",73,68,3,11,37,20
"1340","WEST RIDGE","2013","no",1386,223,0,14,116,93
"1341","WEST RIDGE","2013","yes",97,100,1,18,64,18
"1342","WEST RIDGE","2014","no",1448,222,0,12,125,85
"1343","WEST RIDGE","2014","yes",92,89,0,17,55,17
"1344","WEST RIDGE","2015","no",882,92,1,7,49,36
"1345","WEST RIDGE","2015","yes",38,37,1,4,22,11
"1346","WEST RIDGE","2016","no",733,130,1,11,72,47
"1347","WEST RIDGE","2016","yes",44,44,1,8,15,21
"1348","WEST RIDGE","2017","no",1343,191,0,18,110,63
"1349","WEST RIDGE","2017","yes",63,65,0,9,45,11
"1350","WEST TOWN","2009","no",2891,421,4,67,217,137
"1351","WEST TOWN","2009","yes",226,220,1,35,83,102
"1352","WEST TOWN","2010","no",3072,452,3,53,225,174
"1353","WEST TOWN","2010","yes",258,255,1,33,135,87
"1354","WEST TOWN","2011","no",3014,504,3,41,279,184
"1355","WEST TOWN","2011","yes",202,195,0,29,99,67
"1356","WEST TOWN","2012","no",3000,488,2,46,283,159
"1357","WEST TOWN","2012","yes",238,231,2,29,124,78
"1358","WEST TOWN","2013","no",2929,466,2,41,233,192
